team,payroll,year
Los Angeles Dodgers,285508333,2022
New York Mets,255919999,2022
New York Yankees,240290714,2022
Philadelphia Phillies,221738462,2022
San Diego Padres,202172618,2022
Boston Red Sox,201616000,2022
Chicago White Sox,190760734,2022
Los Angeles Angels,187613094,2022
Atlanta Braves,175335000,2022
Houston Astros,171639599,2022
Toronto Blue Jays,164470905,2022
St. Louis Cardinals,150746666,2022
San Francisco Giants,142292500,2022
Chicago Cubs,141810000,2022
Colorado Rockies,137852166,2022
Texas Rangers,134961333,2022
Minnesota Twins,130984524,2022
Detroit Tigers,128640000,2022
Milwaukee Brewers,128581128,2022
Washington Nationals,114623095,2022
Cincinnati Reds,113580000,2022
Seattle Mariners,92745714,2022
Kansas City Royals,84610000,2022
Miami Marlins,79500000,2022
Arizona Diamondbacks,77393333,2022
Tampa Bay Rays,75347813,2022
Cleveland Guardians,57710000,2022
Baltimore Orioles,41421166,2022
Pittsburgh Pirates,38575000,2022
Oakland A’s,32548334,2022
Los Angeles Dodgers,241372403,2021
New York Yankees,201074956,2021
New York Mets,186001814,2021
Los Angeles Angels,180609676,2021
Washington Nationals,179557685,2021
Boston Red Sox,179540260,2021
Houston Astros,176495417,2021
San Diego Padres,175713986,2021
Philadelphia Phillies,174808832,2021
St. Louis Cardinals,164972833,2021
Chicago Cubs,156481585,2021
San Francisco Giants,149937613,2021
Toronto Blue Jays,139646569,2021
Atlanta Braves,132458375,2021
Chicago White Sox,127148334,2021
Minnesota Twins,125153166,2021
Cincinnati Reds,123575488,2021
Colorado Rockies,110309500,2021
Texas Rangers,97796971,2021
Arizona Diamondbacks,94394792,2021
Milwaukee Brewers,93818038,2021
Kansas City Royals,89496700,2021
Seattle Mariners,83603100,2021
Oakland A’s,82983674,2021
Detroit Tigers,80866200,2021
Tampa Bay Rays,66820709,2021
Miami Marlins,57481750,2021
Baltimore Orioles,56158500,2021
Cleveland Guardians,51269100,2021
Pittsburgh Pirates,45599000,2021
New York Yankees,214291339,2020
Houston Astros,212321933,2020
Los Angeles Dodgers,189065000,2020
Chicago Cubs,188959500,2020
Los Angeles Angels,176329344,2020
St. Louis Cardinals,160781766,2020
Washington Nationals,159242411,2020
Philadelphia Phillies,152877962,2020
Atlanta Braves,149466875,2020
San Francisco Giants,144994027,2020
Cincinnati Reds,143143673,2020
New York Mets,142288337,2020
San Diego Padres,140317600,2020
Texas Rangers,137834500,2020
Colorado Rockies,136399833,2020
Minnesota Twins,127610333,2020
Chicago White Sox,120898499,2020
Boston Red Sox,120361000,2020
Milwaukee Brewers,97535926,2020
Detroit Tigers,96832300,2020
Oakland A’s,94318433,2020
Toronto Blue Jays,92582371,2020
Cleveland Guardians,89004234,2020
Arizona Diamondbacks,86471066,2020
Kansas City Royals,83278225,2020
Seattle Mariners,70343800,2020
Tampa Bay Rays,65812166,2020
Baltimore Orioles,52415682,2020
Miami Marlins,47861700,2020
Pittsburgh Pirates,42119000,2020
Boston Red Sox,222171123,2019
Chicago Cubs,210358488,2019
New York Yankees,208084848,2019
Los Angeles Dodgers,196729548,2019
San Francisco Giants,178286222,2019
St. Louis Cardinals,162830430,2019
Washington Nationals,161877935,2019
Houston Astros,160774666,2019
Los Angeles Angels,159378583,2019
New York Mets,158999270,2019
Seattle Mariners,150906143,2019
Colorado Rockies,147433009,2019
Philadelphia Phillies,140711962,2019
Texas Rangers,127660652,2019
Cincinnati Reds,126423214,2019
Milwaukee Brewers,124755400,2019
Arizona Diamondbacks,123932983,2019
Minnesota Twins,121276933,2019
Cleveland Guardians,119241701,2019
Detroit Tigers,116478400,2019
Atlanta Braves,113778369,2019
Toronto Blue Jays,112037006,2019
Kansas City Royals,100658316,2019
San Diego Padres,99205017,2019
Oakland A’s,92318333,2019
Chicago White Sox,89354534,2019
Pittsburgh Pirates,76589154,2019
Baltimore Orioles,72722906,2019
Miami Marlins,72449404,2019
Tampa Bay Rays,60444931,2019
Boston Red Sox,235649368,2018
San Francisco Giants,208509901,2018
Los Angeles Dodgers,186138211,2018
Chicago Cubs,183463459,2018
Washington Nationals,181586759,2018
Los Angeles Angels,174592209,2018
New York Yankees,168541038,2018
Toronto Blue Jays,162664502,2018
Seattle Mariners,162480174,2018
St. Louis Cardinals,161005146,2018
Houston Astros,159529730,2018
New York Mets,155765125,2018
Texas Rangers,144498078,2018
Baltimore Orioles,143600045,2018
Colorado Rockies,141339833,2018
Cleveland Guardians,137346173,2018
Arizona Diamondbacks,132495446,2018
Minnesota Twins,131374996,2018
Kansas City Royals,129967987,2018
Detroit Tigers,129917192,2018
Atlanta Braves,120542785,2018
Cincinnati Reds,101185579,2018
Miami Marlins,98826644,2018
Philadelphia Phillies,96848371,2018
San Diego Padres,96131798,2018
Milwaukee Brewers,90237112,2018
Pittsburgh Pirates,87860654,2018
Tampa Bay Rays,78231049,2018
Chicago White Sox,72177640,2018
Oakland A’s,68534631,2018
Los Angeles Dodgers,187989811,2017
Detroit Tigers,180250600,2017
Texas Rangers,178431396,2017
San Francisco Giants,176531278,2017
New York Mets,176284679,2017
Boston Red Sox,174287098,2017
New York Yankees,170389199,2017
Chicago Cubs,170088502,2017
Washington Nationals,162742157,2017
Toronto Blue Jays,162353367,2017
Baltimore Orioles,161684185,2017
Seattle Mariners,155207720,2017
St. Louis Cardinals,146630000,2017
Los Angeles Angels,143965833,2017
Atlanta Braves,137339527,2017
Kansas City Royals,132091916,2017
Houston Astros,127443900,2017
Cleveland Guardians,115991166,2017
Miami Marlins,115348302,2017
Chicago White Sox,109591167,2017
Colorado Rockies,101513571,2017
Minnesota Twins,100787500,2017
Pittsburgh Pirates,94637833,2017
Arizona Diamondbacks,90730499,2017
Philadelphia Phillies,87418378,2017
Cincinnati Reds,82375785,2017
Oakland A’s,70601667,2017
Tampa Bay Rays,69982520,2017
Milwaukee Brewers,61020089,2017
San Diego Padres,34574400,2017
Los Angeles Dodgers,253639162,2016
New York Yankees,227854349,2016
Boston Red Sox,199864178,2016
Detroit Tigers,199525500,2016
San Francisco Giants,171464943,2016
Chicago Cubs,167444167,2016
Los Angeles Angels,166831190,2016
Texas Rangers,161246720,2016
St. Louis Cardinals,149186000,2016
Baltimore Orioles,147943713,2016
Washington Nationals,146686385,2016
Seattle Mariners,144996858,2016
Toronto Blue Jays,140582027,2016
Kansas City Royals,137606125,2016
New York Mets,130612115,2016
Chicago White Sox,115998667,2016
Colorado Rockies,113242571,2016
Minnesota Twins,104591200,2016
Philadelphia Phillies,103346668,2016
San Diego Padres,100547000,2016
Pittsburgh Pirates,99960499,2016
Arizona Diamondbacks,98657436,2016
Cleveland Guardians,98006899,2016
Houston Astros,96643000,2016
Cincinnati Reds,93171452,2016
Oakland A’s,85823390,2016
Atlanta Braves,84821541,2016
Miami Marlins,70464500,2016
Tampa Bay Rays,64120323,2016
Milwaukee Brewers,62964319,2016
Los Angeles Dodgers,230352402,2015
New York Yankees,213472857,2015
Washington Nationals,174510977,2015
Detroit Tigers,172792250,2015
Boston Red Sox,168691914,2015
San Francisco Giants,166495942,2015
Los Angeles Angels,146449583,2015
Texas Rangers,144816873,2015
Philadelphia Phillies,133048000,2015
San Diego Padres,126619628,2015
Seattle Mariners,123225842,2015
St. Louis Cardinals,120301957,2015
Baltimore Orioles,118862632,2015
Cincinnati Reds,117732284,2015
Chicago Cubs,117164522,2015
Toronto Blue Jays,116415800,2015
Kansas City Royals,112914525,2015
Chicago White Sox,110712866,2015
Minnesota Twins,108262000,2015
New York Mets,100133953,2015
Milwaukee Brewers,98683035,2015
Colorado Rockies,98261171,2015
Atlanta Braves,89622648,2015
Cleveland Guardians,87746766,2015
Pittsburgh Pirates,85885832,2015
Miami Marlins,84637500,2015
Oakland A’s,80786666,2015
Tampa Bay Rays,74849584,2015
Houston Astros,69064200,2015
Arizona Diamondbacks,65770333,2015
Los Angeles Dodgers,235295219,2014
New York Yankees,203812506,2014
Philadelphia Phillies,180052723,2014
Boston Red Sox,162817411,2014
Detroit Tigers,162228527,2014
Los Angeles Angels,155692000,2014
San Francisco Giants,154185878,2014
Texas Rangers,136036172,2014
Washington Nationals,134704437,2014
Toronto Blue Jays,132628700,2014
Arizona Diamondbacks,112688666,2014
Cincinnati Reds,112390772,2014
St. Louis Cardinals,111020360,2014
Atlanta Braves,110897341,2014
Baltimore Orioles,107406623,2014
Milwaukee Brewers,103844806,2014
Colorado Rockies,95832071,2014
Seattle Mariners,92081943,2014
Kansas City Royals,92034345,2014
Chicago White Sox,91159254,2014
San Diego Padres,90094196,2014
New York Mets,89051758,2014
Chicago Cubs,89007857,2014
Minnesota Twins,85776500,2014
Oakland A’s,83401400,2014
Cleveland Guardians,82534800,2014
Pittsburgh Pirates,78111667,2014
Tampa Bay Rays,77062891,2014
Miami Marlins,47565400,2014
Houston Astros,44544174,2014
New York Yankees,228995945,2013
Los Angeles Dodgers,216302909,2013
Philadelphia Phillies,159578214,2013
Boston Red Sox,158967286,2013
Detroit Tigers,149046844,2013
San Francisco Giants,142180333,2013
Los Angeles Angels,142165250,2013
Texas Rangers,127197575,2013
Chicago White Sox,124065277,2013
Toronto Blue Jays,118244039,2013
St. Louis Cardinals,116702085,2013
Washington Nationals,112431770,2013
Cincinnati Reds,110565728,2013
Chicago Cubs,104150726,2013
Baltimore Orioles,91793333,2013
Milwaukee Brewers,91003366,2013
Arizona Diamondbacks,90158500,2013
Atlanta Braves,89288193,2013
New York Mets,88877033,2013
Seattle Mariners,84295952,2013
Cleveland Guardians,82517300,2013
Kansas City Royals,80491725,2013
Minnesota Twins,75562500,2013
Colorado Rockies,75449071,2013
San Diego Padres,71689900,2013
Oakland A’s,68577000,2013
Pittsburgh Pirates,66289524,2013
Tampa Bay Rays,57030272,2013
Miami Marlins,39621900,2013
Houston Astros,24328538,2013
New York Yankees,197962289,2012
Philadelphia Phillies,174538938,2012
Boston Red Sox,173186617,2012
Los Angeles Angels,154485166,2012
Detroit Tigers,132300000,2012
Texas Rangers,120510974,2012
Miami Marlins,118078000,2012
Seattle Mariners,117620683,2012
St. Louis Cardinals,110300862,2012
Milwaukee Brewers,97653944,2012
Chicago White Sox,96919500,2012
Los Angeles Dodgers,95143575,2012
Minnesota Twins,94085000,2012
New York Mets,93353983,2012
Chicago Cubs,88197033,2012
Atlanta Braves,83309942,2012
Cincinnati Reds,82203616,2012
San Francisco Giants,81978100,2012
Baltimore Orioles,81428999,2012
Washington Nationals,81336143,2012
Cleveland Guardians,78430300,2012
Colorado Rockies,78069571,2012
Toronto Blue Jays,75489200,2012
Arizona Diamondbacks,74284833,2012
Tampa Bay Rays,64173500,2012
Pittsburgh Pirates,63431999,2012
Kansas City Royals,60916225,2012
Houston Astros,60651000,2012
Oakland A’s,55372500,2012
San Diego Padres,55244700,2012
New York Yankees,202689028,2011
Philadelphia Phillies,172976379,2011
Boston Red Sox,161762475,2011
Los Angeles Angels,138543166,2011
Chicago White Sox,127789000,2011
Chicago Cubs,125047329,2011
New York Mets,118847309,2011
San Francisco Giants,118198333,2011
Minnesota Twins,112737000,2011
Detroit Tigers,105700231,2011
St. Louis Cardinals,105433572,2011
Los Angeles Dodgers,104188999,2011
Texas Rangers,92299264,2011
Colorado Rockies,88148071,2011
Atlanta Braves,87002692,2011
Seattle Mariners,86524600,2011
Milwaukee Brewers,85497333,2011
Baltimore Orioles,85304038,2011
Cincinnati Reds,75947134,2011
Houston Astros,70694000,2011
Oakland A’s,66536500,2011
Washington Nationals,63856928,2011
Toronto Blue Jays,62567800,2011
Miami Marlins,56944000,2011
Arizona Diamondbacks,53639833,2011
Cleveland Guardians,49190566,2011
San Diego Padres,45869140,2011
Pittsburgh Pirates,45047000,2011
Tampa Bay Rays,41053571,2011
Kansas City Royals,36126000,2011
New York Yankees,206333389,2010
Boston Red Sox,162747333,2010
Chicago Cubs,146859000,2010
Philadelphia Phillies,141927381,2010
New York Mets,132701445,2010
Detroit Tigers,122864929,2010
Chicago White Sox,108273197,2010
